Numer_zgloszenia	Numer_komputera	Data_awarii	Czas_awarii	Priorytet
104	256	21.01.2015 00:00	02:13:03	10
105	84	21.01.2015 00:00	03:24:21	8
106	79	21.01.2015 00:00	05:30:34	3
107	472	21.01.2015 00:00	10:59:25	3
108	107	21.01.2015 00:00	11:22:33	9
109	420	21.01.2015 00:00	13:39:43	10
110	32	21.01.2015 00:00	18:41:07	7
111	390	21.01.2015 00:00	21:07:57	2
112	312	21.01.2015 00:00	22:04:55	2
113	470	22.01.2015 00:00	05:27:35	7
114	436	22.01.2015 00:00	09:56:25	10
115	192	22.01.2015 00:00	15:00:36	3
116	349	22.01.2015 00:00	20:07:49	8
117	256	23.01.2015 00:00	09:33:17	3
118	219	23.01.2015 00:00	10:14:45	5
119	343	23.01.2015 00:00	16:51:27	9
120	246	23.01.2015 00:00	18:16:25	8
121	249	23.01.2015 00:00	22:03:13	3
122	485	24.01.2015 00:00	00:47:00	8
123	200	24.01.2015 00:00	02:30:15	10
124	237	24.01.2015 00:00	07:02:27	10
125	360	24.01.2015 00:00	09:30:01	9
126	349	24.01.2015 00:00	18:32:56	10
127	232	24.01.2015 00:00	20:50:54	5
128	189	24.01.2015 00:00	21:26:55	6
129	324	25.01.2015 00:00	10:43:08	2
130	449	25.01.2015 00:00	10:59:04	6
131	205	26.01.2015 00:00	02:53:38	1
132	28	26.01.2015 00:00	04:33:12	10
133	134	26.01.2015 00:00	07:27:27	1
134	302	26.01.2015 00:00	07:49:38	7
135	138	26.01.2015 00:00	08:28:54	8
136	66	26.01.2015 00:00	08:33:27	1
137	115	26.01.2015 00:00	09:18:04	3
138	377	26.01.2015 00:00	10:14:30	6
139	247	26.01.2015 00:00	12:07:12	4
140	14	26.01.2015 00:00	17:42:00	7
141	433	26.01.2015 00:00	21:05:37	9
142	220	27.01.2015 00:00	06:02:45	7
143	433	27.01.2015 00:00	09:04:23	1
144	260	27.01.2015 00:00	12:10:05	6
145	214	27.01.2015 00:00	17:00:43	8
146	266	27.01.2015 00:00	20:48:48	9
147	231	28.01.2015 00:00	00:32:44	6
148	190	28.01.2015 00:00	12:39:14	2
149	175	28.01.2015 00:00	18:18:48	9
150	171	29.01.2015 00:00	02:27:23	5
151	480	29.01.2015 00:00	04:37:59	3
152	223	29.01.2015 00:00	07:50:20	9
153	299	29.01.2015 00:00	13:05:47	10
154	61	29.01.2015 00:00	16:03:34	3
155	38	29.01.2015 00:00	17:40:07	7
156	214	29.01.2015 00:00	18:18:04	8
157	388	29.01.2015 00:00	23:49:19	10
158	103	30.01.2015 00:00	05:32:36	4
159	426	30.01.2015 00:00	08:45:03	2
160	340	30.01.2015 00:00	10:10:36	4
161	38	30.01.2015 00:00	12:54:59	1
162	62	30.01.2015 00:00	13:01:54	7
163	326	30.01.2015 00:00	13:29:52	5
164	428	30.01.2015 00:00	16:41:04	3
165	102	30.01.2015 00:00	16:51:24	7
166	60	30.01.2015 00:00	19:40:25	4
167	323	31.01.2015 00:00	01:45:22	7
168	244	31.01.2015 00:00	02:53:20	7
169	210	31.01.2015 00:00	09:48:04	3
170	39	31.01.2015 00:00	17:19:41	9
171	452	31.01.2015 00:00	17:38:49	6
172	190	31.01.2015 00:00	17:39:10	2
173	494	31.01.2015 00:00	18:29:54	2
174	255	31.01.2015 00:00	18:57:25	2
175	239	31.01.2015 00:00	21:46:33	7
176	99	31.01.2015 00:00	21:59:36	3
177	331	01.02.2015 00:00	01:00:17	2
178	231	01.02.2015 00:00	01:39:00	3
179	193	01.02.2015 00:00	06:43:56	3
180	125	01.02.2015 00:00	08:38:47	9
181	16	01.02.2015 00:00	10:16:58	8
182	265	01.02.2015 00:00	12:58:43	4
183	286	01.02.2015 00:00	15:19:25	4
184	367	01.02.2015 00:00	22:39:17	9
185	154	01.02.2015 00:00	23:38:13	1
186	349	02.02.2015 00:00	11:24:05	9
187	19	02.02.2015 00:00	12:45:04	6
188	283	02.02.2015 00:00	18:22:59	6
189	269	02.02.2015 00:00	23:28:22	7
190	127	03.02.2015 00:00	04:27:21	9
191	408	03.02.2015 00:00	07:04:06	7
192	91	03.02.2015 00:00	08:08:35	1
193	187	03.02.2015 00:00	19:37:33	8
194	303	03.02.2015 00:00	20:59:53	5
195	200	03.02.2015 00:00	21:03:49	4
196	349	04.02.2015 00:00	00:19:46	8
197	39	04.02.2015 00:00	05:24:31	3
198	2	04.02.2015 00:00	10:40:35	4
199	99	04.02.2015 00:00	11:17:30	6
200	332	04.02.2015 00:00	18:09:43	7
201	199	04.02.2015 00:00	23:44:31	6
202	52	05.02.2015 00:00	00:54:00	2
203	268	05.02.2015 00:00	05:22:43	10
204	6	05.02.2015 00:00	14:57:23	4
205	32	05.02.2015 00:00	15:45:44	4
206	190	06.02.2015 00:00	08:40:10	1
207	40	06.02.2015 00:00	09:17:30	2
208	271	06.02.2015 00:00	16:37:03	2
209	338	06.02.2015 00:00	16:59:55	9
210	109	06.02.2015 00:00	19:11:19	9
211	55	06.02.2015 00:00	22:41:03	3
212	92	07.02.2015 00:00	01:46:02	5
213	360	07.02.2015 00:00	03:22:47	8
214	115	07.02.2015 00:00	03:36:49	7
215	238	07.02.2015 00:00	07:59:58	5
216	483	07.02.2015 00:00	08:54:43	5
217	32	07.02.2015 00:00	21:22:43	10
218	348	08.02.2015 00:00	01:04:36	9
219	428	08.02.2015 00:00	06:30:36	5
220	66	08.02.2015 00:00	09:29:42	5
221	477	08.02.2015 00:00	10:00:25	5
222	127	08.02.2015 00:00	13:23:40	10
223	2	08.02.2015 00:00	13:59:09	1
224	387	08.02.2015 00:00	14:04:36	6
225	161	08.02.2015 00:00	16:37:58	3
226	367	08.02.2015 00:00	17:20:10	3
227	82	09.02.2015 00:00	01:59:21	1
228	387	09.02.2015 00:00	03:50:23	6
229	116	09.02.2015 00:00	10:12:30	4
230	207	09.02.2015 00:00	14:36:30	2
231	90	10.02.2015 00:00	01:06:31	3
232	99	10.02.2015 00:00	03:54:28	4
233	165	10.02.2015 00:00	10:13:19	8
234	143	10.02.2015 00:00	12:15:22	7
235	53	11.02.2015 00:00	02:26:37	5
236	370	11.02.2015 00:00	10:57:41	7
237	79	11.02.2015 00:00	14:55:18	6
238	387	11.02.2015 00:00	17:18:51	8
239	364	11.02.2015 00:00	18:31:45	6
240	333	11.02.2015 00:00	21:14:38	6
241	139	11.02.2015 00:00	23:37:16	3
242	12	12.02.2015 00:00	04:21:29	9
243	139	12.02.2015 00:00	08:38:32	6
244	264	12.02.2015 00:00	09:54:21	9
245	4	12.02.2015 00:00	21:27:49	8
246	43	13.02.2015 00:00	02:16:34	1
247	60	13.02.2015 00:00	07:12:48	8
248	74	13.02.2015 00:00	14:42:04	9
249	75	13.02.2015 00:00	15:05:45	1
250	77	13.02.2015 00:00	15:06:56	5
251	271	13.02.2015 00:00	18:30:12	5
252	480	13.02.2015 00:00	18:51:17	10
253	230	14.02.2015 00:00	01:10:34	2
254	51	14.02.2015 00:00	04:56:30	8
255	140	14.02.2015 00:00	05:15:57	3
256	256	14.02.2015 00:00	05:16:57	4
257	43	14.02.2015 00:00	12:08:25	4
258	231	14.02.2015 00:00	12:49:05	3
259	59	14.02.2015 00:00	13:00:19	4
260	33	14.02.2015 00:00	16:16:42	1
261	129	14.02.2015 00:00	17:24:34	8
262	442	14.02.2015 00:00	18:26:25	10
263	367	14.02.2015 00:00	23:01:54	9
264	5	14.02.2015 00:00	23:45:29	9
265	259	15.02.2015 00:00	07:31:36	6
266	118	15.02.2015 00:00	12:43:35	9
267	301	15.02.2015 00:00	18:17:53	6
268	22	16.02.2015 00:00	01:08:32	9
269	289	16.02.2015 00:00	02:33:06	6
270	442	16.02.2015 00:00	05:36:38	7
271	297	16.02.2015 00:00	11:19:31	9
272	28	16.02.2015 00:00	15:41:27	10
273	5	16.02.2015 00:00	15:59:19	9
274	395	16.02.2015 00:00	21:34:49	2
275	374	17.02.2015 00:00	03:37:53	2
276	88	17.02.2015 00:00	16:10:54	6
277	183	17.02.2015 00:00	18:47:30	7
278	322	17.02.2015 00:00	23:30:32	1
279	15	18.02.2015 00:00	02:58:24	5
280	474	18.02.2015 00:00	08:29:42	1
281	371	18.02.2015 00:00	08:42:42	4
282	56	18.02.2015 00:00	08:43:45	5
283	492	18.02.2015 00:00	10:07:02	2
284	5	18.02.2015 00:00	10:40:55	8
285	224	18.02.2015 00:00	10:52:18	1
286	188	18.02.2015 00:00	12:12:21	8
287	140	18.02.2015 00:00	14:14:53	4
288	444	18.02.2015 00:00	19:38:31	7
289	28	18.02.2015 00:00	19:42:32	9
290	356	18.02.2015 00:00	21:41:12	6
291	445	19.02.2015 00:00	03:12:49	5
292	77	19.02.2015 00:00	08:33:02	2
293	142	19.02.2015 00:00	09:10:22	6
294	475	19.02.2015 00:00	13:13:40	2
295	113	19.02.2015 00:00	14:03:53	8
296	43	19.02.2015 00:00	14:40:28	7
297	221	19.02.2015 00:00	14:44:53	7
298	157	19.02.2015 00:00	14:52:48	3
299	393	19.02.2015 00:00	22:12:37	2
300	325	19.02.2015 00:00	22:57:04	7
301	222	19.02.2015 00:00	23:08:49	9
302	489	20.02.2015 00:00	08:50:34	4
303	193	20.02.2015 00:00	09:29:28	3
304	4	20.02.2015 00:00	10:17:05	7
305	115	20.02.2015 00:00	12:26:24	5
306	202	20.02.2015 00:00	18:59:55	4
307	177	21.02.2015 00:00	10:41:17	7
308	334	21.02.2015 00:00	17:46:00	1
309	260	21.02.2015 00:00	18:26:49	4
310	50	21.02.2015 00:00	20:10:57	5
311	180	21.02.2015 00:00	20:20:01	10
312	362	21.02.2015 00:00	20:26:48	8
313	438	21.02.2015 00:00	21:50:02	7
314	420	22.02.2015 00:00	06:41:42	10
315	240	22.02.2015 00:00	08:50:52	2
316	444	22.02.2015 00:00	10:46:22	2
317	496	22.02.2015 00:00	14:10:38	2
318	455	22.02.2015 00:00	14:14:04	2
319	22	22.02.2015 00:00	15:05:24	3
320	29	22.02.2015 00:00	15:09:53	6
321	274	22.02.2015 00:00	18:30:50	10
322	254	22.02.2015 00:00	20:47:31	2
323	248	22.02.2015 00:00	21:06:57	9
324	436	22.02.2015 00:00	22:53:34	4
325	94	22.02.2015 00:00	23:19:42	3
326	134	23.02.2015 00:00	03:20:27	3
327	169	24.02.2015 00:00	00:19:25	6
328	358	24.02.2015 00:00	04:58:30	7
329	431	24.02.2015 00:00	06:12:24	6
330	271	24.02.2015 00:00	12:47:07	5
331	198	24.02.2015 00:00	12:49:44	8
332	63	24.02.2015 00:00	18:59:17	1
333	189	24.02.2015 00:00	22:28:01	5
334	113	25.02.2015 00:00	02:22:00	10
335	111	25.02.2015 00:00	05:46:08	1
336	466	25.02.2015 00:00	06:01:06	3
337	432	25.02.2015 00:00	06:28:25	4
338	325	25.02.2015 00:00	07:04:20	6
339	477	25.02.2015 00:00	07:15:03	3
340	60	25.02.2015 00:00	10:36:41	5
341	22	25.02.2015 00:00	10:46:20	7
342	229	25.02.2015 00:00	10:52:45	8
343	400	25.02.2015 00:00	16:30:20	2
344	172	25.02.2015 00:00	18:22:07	5
345	323	26.02.2015 00:00	04:28:07	10
346	28	26.02.2015 00:00	10:14:53	8
347	264	27.02.2015 00:00	07:04:39	9
348	176	27.02.2015 00:00	08:51:49	10
349	113	27.02.2015 00:00	13:19:40	9
350	8	27.02.2015 00:00	16:02:07	3
351	55	27.02.2015 00:00	18:44:09	2
352	466	27.02.2015 00:00	19:30:52	2
353	91	27.02.2015 00:00	21:20:13	7
354	247	28.02.2015 00:00	01:34:53	7
355	228	28.02.2015 00:00	03:02:05	2
356	391	28.02.2015 00:00	04:25:03	6
357	177	28.02.2015 00:00	07:19:30	4
358	217	28.02.2015 00:00	11:16:59	10
359	74	28.02.2015 00:00	17:25:22	2
360	75	28.02.2015 00:00	18:28:24	6
361	78	28.02.2015 00:00	18:29:55	2
362	177	28.02.2015 00:00	19:54:16	8
363	47	01.03.2015 00:00	02:44:55	7
364	320	01.03.2015 00:00	06:03:35	2
365	496	01.03.2015 00:00	07:38:49	8
366	127	01.03.2015 00:00	08:50:15	1
367	396	01.03.2015 00:00	12:01:13	10
368	84	01.03.2015 00:00	13:06:30	9
369	275	01.03.2015 00:00	13:30:44	2
370	483	01.03.2015 00:00	13:42:45	1
371	71	01.03.2015 00:00	14:23:46	9
372	394	01.03.2015 00:00	21:27:45	8
373	489	01.03.2015 00:00	22:47:29	5
374	176	01.03.2015 00:00	23:20:27	5
375	13	02.03.2015 00:00	00:57:06	10
376	246	02.03.2015 00:00	01:32:57	6
377	383	02.03.2015 00:00	06:41:01	10
378	356	02.03.2015 00:00	10:39:07	2
379	72	02.03.2015 00:00	23:22:38	8
380	279	03.03.2015 00:00	02:25:51	7
381	144	03.03.2015 00:00	04:57:36	7
382	494	03.03.2015 00:00	10:48:26	10
383	64	03.03.2015 00:00	11:42:44	9
384	128	03.03.2015 00:00	15:12:50	9
385	432	04.03.2015 00:00	02:56:46	8
386	368	04.03.2015 00:00	13:00:48	7
387	367	04.03.2015 00:00	15:23:19	4
388	291	04.03.2015 00:00	18:27:15	9
389	183	04.03.2015 00:00	19:30:50	9
390	489	04.03.2015 00:00	20:47:30	2
391	48	04.03.2015 00:00	23:31:00	8
392	479	05.03.2015 00:00	01:55:36	7
393	140	05.03.2015 00:00	03:26:47	5
394	387	05.03.2015 00:00	06:50:05	7
395	13	05.03.2015 00:00	06:55:01	10
396	22	05.03.2015 00:00	11:48:38	3
397	14	05.03.2015 00:00	12:57:17	5
398	438	05.03.2015 00:00	13:12:35	9
399	385	06.03.2015 00:00	02:26:51	4
400	283	06.03.2015 00:00	02:47:10	8
401	434	06.03.2015 00:00	03:16:25	1
402	165	06.03.2015 00:00	08:51:51	2
403	82	06.03.2015 00:00	09:22:26	6
404	254	06.03.2015 00:00	14:35:00	3
405	48	06.03.2015 00:00	15:07:15	10
406	130	06.03.2015 00:00	21:53:34	2
407	118	07.03.2015 00:00	12:52:41	8
408	191	07.03.2015 00:00	12:54:59	2
409	198	07.03.2015 00:00	17:49:16	3
410	459	08.03.2015 00:00	04:54:34	1
411	236	08.03.2015 00:00	07:01:32	2
412	16	08.03.2015 00:00	08:11:59	7
413	84	08.03.2015 00:00	09:31:37	8
414	259	08.03.2015 00:00	09:47:52	8
415	337	08.03.2015 00:00	10:18:12	8
416	464	08.03.2015 00:00	14:17:32	3
417	443	08.03.2015 00:00	14:25:28	3
418	337	08.03.2015 00:00	15:07:52	6
419	64	08.03.2015 00:00	15:10:55	2
420	376	08.03.2015 00:00	17:53:56	4
421	311	08.03.2015 00:00	18:40:11	2
422	130	08.03.2015 00:00	22:20:32	6
423	340	08.03.2015 00:00	23:24:46	5
424	497	09.03.2015 00:00	01:20:40	6
425	288	09.03.2015 00:00	03:18:46	2
426	444	09.03.2015 00:00	15:14:49	5
427	265	09.03.2015 00:00	18:16:48	4
428	219	09.03.2015 00:00	18:24:28	1
429	369	09.03.2015 00:00	19:45:26	1
430	162	10.03.2015 00:00	04:10:27	8
431	227	10.03.2015 00:00	04:56:38	8
432	222	10.03.2015 00:00	05:02:51	9
433	480	10.03.2015 00:00	11:43:34	7
434	39	10.03.2015 00:00	12:05:44	4
435	462	10.03.2015 00:00	14:18:13	4
436	183	10.03.2015 00:00	14:46:58	10
437	434	10.03.2015 00:00	17:38:30	5
438	50	10.03.2015 00:00	21:36:46	3
439	65	11.03.2015 00:00	05:10:43	3
440	63	11.03.2015 00:00	06:38:21	10
441	427	11.03.2015 00:00	07:43:43	3
442	161	11.03.2015 00:00	19:45:23	2
443	248	11.03.2015 00:00	21:52:22	7
444	425	11.03.2015 00:00	23:26:37	1
445	271	12.03.2015 00:00	01:13:07	8
446	127	12.03.2015 00:00	04:40:21	2
447	465	12.03.2015 00:00	06:59:55	10
448	289	12.03.2015 00:00	07:58:55	3
449	78	12.03.2015 00:00	08:23:57	6
450	84	12.03.2015 00:00	08:40:46	6
451	97	12.03.2015 00:00	08:50:48	3
452	43	12.03.2015 00:00	18:25:46	3
453	286	12.03.2015 00:00	19:58:30	4
454	116	13.03.2015 00:00	05:37:30	10
455	383	13.03.2015 00:00	07:46:02	2
456	161	13.03.2015 00:00	18:19:57	4
457	39	14.03.2015 00:00	01:37:47	8
458	285	14.03.2015 00:00	03:56:28	10
459	141	14.03.2015 00:00	06:23:24	6
460	33	14.03.2015 00:00	10:53:59	5
461	353	14.03.2015 00:00	13:58:52	1
462	52	14.03.2015 00:00	21:19:28	7
463	121	15.03.2015 00:00	17:40:14	6
464	88	16.03.2015 00:00	00:49:55	4
465	459	16.03.2015 00:00	00:59:55	3
466	480	16.03.2015 00:00	07:14:01	7
467	123	16.03.2015 00:00	09:43:01	3
468	466	16.03.2015 00:00	14:15:54	5
469	236	16.03.2015 00:00	16:03:58	1
470	267	16.03.2015 00:00	17:09:53	4
471	470	16.03.2015 00:00	22:07:13	6
472	242	16.03.2015 00:00	22:17:20	5
473	315	17.03.2015 00:00	00:28:29	8
474	392	17.03.2015 00:00	00:41:50	1
475	304	17.03.2015 00:00	01:22:40	4
476	417	17.03.2015 00:00	05:38:40	10
477	199	17.03.2015 00:00	11:13:09	4
478	413	17.03.2015 00:00	12:45:02	5
479	352	17.03.2015 00:00	13:33:11	6
480	232	17.03.2015 00:00	15:29:27	3
481	142	17.03.2015 00:00	16:08:57	10
482	278	17.03.2015 00:00	16:14:36	3
483	306	17.03.2015 00:00	16:57:02	10
484	451	17.03.2015 00:00	16:59:04	2
485	222	17.03.2015 00:00	21:38:44	6
486	406	18.03.2015 00:00	01:11:56	9
487	101	18.03.2015 00:00	17:17:54	4
488	24	18.03.2015 00:00	17:39:14	6
489	193	18.03.2015 00:00	19:52:05	2
490	156	19.03.2015 00:00	02:50:00	3
491	5	19.03.2015 00:00	04:13:33	1
492	481	19.03.2015 00:00	08:38:52	10
493	348	19.03.2015 00:00	16:20:16	2
494	339	19.03.2015 00:00	19:58:33	1
495	406	20.03.2015 00:00	02:04:41	6
496	459	20.03.2015 00:00	08:51:54	3
497	123	20.03.2015 00:00	17:17:35	2
498	217	20.03.2015 00:00	19:58:38	7
499	334	20.03.2015 00:00	20:09:27	8
500	101	21.03.2015 00:00	07:03:33	2
501	53	21.03.2015 00:00	08:33:45	9
502	401	21.03.2015 00:00	14:04:48	5
503	465	21.03.2015 00:00	14:08:57	4
504	278	21.03.2015 00:00	14:45:11	4
505	265	21.03.2015 00:00	18:03:04	3
506	487	21.03.2015 00:00	18:45:14	5
507	111	21.03.2015 00:00	19:06:47	8
508	227	21.03.2015 00:00	21:47:13	7
509	244	21.03.2015 00:00	22:49:39	8
510	47	22.03.2015 00:00	02:02:09	1
511	277	22.03.2015 00:00	02:05:49	2
512	14	22.03.2015 00:00	05:18:19	2
513	140	22.03.2015 00:00	06:00:58	6
514	243	22.03.2015 00:00	14:17:02	2
515	151	23.03.2015 00:00	03:27:41	5
516	171	23.03.2015 00:00	06:32:55	6
517	487	23.03.2015 00:00	06:45:14	1
518	463	23.03.2015 00:00	08:50:27	6
519	449	23.03.2015 00:00	13:40:15	9
520	444	23.03.2015 00:00	18:54:41	6
521	334	23.03.2015 00:00	18:55:39	7
522	456	23.03.2015 00:00	19:50:28	7
523	244	23.03.2015 00:00	20:21:24	7
524	163	24.03.2015 00:00	00:42:39	5
525	464	24.03.2015 00:00	01:41:13	3
526	21	24.03.2015 00:00	06:48:41	5
527	3	24.03.2015 00:00	06:50:59	7
528	47	24.03.2015 00:00	11:58:55	10
529	432	24.03.2015 00:00	12:09:15	4
530	127	24.03.2015 00:00	13:44:30	5
531	40	24.03.2015 00:00	14:44:24	2
532	437	24.03.2015 00:00	17:32:32	2
533	232	24.03.2015 00:00	18:06:28	9
534	452	24.03.2015 00:00	18:16:22	5
535	354	25.03.2015 00:00	06:23:54	8
536	145	25.03.2015 00:00	07:02:42	3
537	422	25.03.2015 00:00	11:51:27	5
538	443	25.03.2015 00:00	12:48:56	6
539	493	25.03.2015 00:00	15:50:02	1
540	276	25.03.2015 00:00	16:25:25	2
541	248	25.03.2015 00:00	20:03:18	4
542	188	26.03.2015 00:00	01:38:54	2
543	272	26.03.2015 00:00	01:46:27	7
544	177	26.03.2015 00:00	02:03:14	9
545	267	26.03.2015 00:00	02:09:07	5
546	123	26.03.2015 00:00	04:00:41	2
547	231	26.03.2015 00:00	04:09:05	8
548	282	26.03.2015 00:00	06:07:27	4
549	497	26.03.2015 00:00	09:01:04	8
550	300	26.03.2015 00:00	09:04:09	4
551	152	26.03.2015 00:00	12:20:07	9
552	28	26.03.2015 00:00	12:31:20	10
553	481	26.03.2015 00:00	13:56:41	2
554	343	26.03.2015 00:00	19:05:56	9
555	77	27.03.2015 00:00	04:50:57	1
556	47	27.03.2015 00:00	05:50:32	5
557	109	27.03.2015 00:00	19:59:41	1
558	153	27.03.2015 00:00	19:59:42	1
559	465	28.03.2015 00:00	08:32:49	9
560	119	28.03.2015 00:00	10:34:16	1
561	493	28.03.2015 00:00	11:24:10	2
562	2	28.03.2015 00:00	11:31:51	2
563	283	28.03.2015 00:00	13:19:54	6
564	166	28.03.2015 00:00	18:59:15	8
565	407	29.03.2015 00:00	01:06:05	3
566	340	29.03.2015 00:00	07:33:36	9
567	300	29.03.2015 00:00	12:39:01	3
568	389	29.03.2015 00:00	14:31:56	2
569	47	29.03.2015 00:00	16:36:23	3
570	156	29.03.2015 00:00	20:30:10	7
571	372	29.03.2015 00:00	22:06:26	6
572	400	30.03.2015 00:00	03:01:33	2
573	7	30.03.2015 00:00	04:51:55	6
574	232	30.03.2015 00:00	04:57:45	4
575	300	30.03.2015 00:00	07:42:42	4
576	164	30.03.2015 00:00	09:22:47	5
577	183	30.03.2015 00:00	13:12:56	1
578	83	30.03.2015 00:00	15:39:10	5
579	82	30.03.2015 00:00	15:39:21	1
580	434	30.03.2015 00:00	20:12:40	4
581	202	30.03.2015 00:00	21:12:29	2
582	177	30.03.2015 00:00	22:45:40	3
583	442	31.03.2015 00:00	01:01:37	9
584	304	31.03.2015 00:00	06:13:55	1
585	352	31.03.2015 00:00	09:35:00	3
586	332	31.03.2015 00:00	12:22:36	3
587	195	31.03.2015 00:00	15:34:02	10
588	474	31.03.2015 00:00	18:39:14	10
589	50	01.04.2015 00:00	00:09:35	2
590	475	01.04.2015 00:00	00:27:39	9
591	279	01.04.2015 00:00	10:25:04	9
592	15	01.04.2015 00:00	15:22:12	10
593	316	01.04.2015 00:00	17:42:20	10
594	86	01.04.2015 00:00	19:57:19	8
595	276	01.04.2015 00:00	22:09:47	9
596	275	01.04.2015 00:00	22:32:11	9
597	479	01.04.2015 00:00	23:52:30	8
598	226	02.04.2015 00:00	07:44:41	1
599	124	02.04.2015 00:00	07:45:29	1
600	303	02.04.2015 00:00	11:14:05	5
601	358	02.04.2015 00:00	11:39:24	5
602	248	02.04.2015 00:00	18:07:49	8
603	212	03.04.2015 00:00	00:16:02	6
604	366	03.04.2015 00:00	04:25:36	4
605	66	03.04.2015 00:00	05:33:23	6
